,ticker,time,orderType,investorType,volume,averagePrice,orderCount,prevPriceChange
361,FPT,13:58:58,Sell Down,SHEEP,100,129800.0,1,-100.0
362,FPT,13:58:43,Buy Up,SHEEP,100,129900.0,1,0.0
363,FPT,13:58:32,Buy Up,SHEEP,100,129900.0,1,0.0
364,FPT,13:58:31,Buy Up,SHEEP,800,129900.0,1,0.0
365,FPT,13:58:11,Buy Up,SHEEP,200,129900.0,1,0.0
366,FPT,13:57:59,Buy Up,WOLF,1800,129900.0,5,-100.0
367,FPT,13:57:55,Buy Up,SHEEP,600,130000.0,2,0.0
368,FPT,13:57:38,Buy Up,SHEEP,800,130000.0,1,100.0
369,FPT,13:57:33,Sell Down,SHEEP,200,129900.0,1,-100.0
370,FPT,13:57:32,Buy Up,SHEEP,500,130000.0,1,0.0
371,FPT,13:57:28,Buy Up,SHEEP,100,130000.0,1,100.0
372,FPT,13:57:26,Sell Down,SHEEP,300,129900.0,1,0.0
373,FPT,13:57:03,Sell Down,SHEEP,300,129900.0,3,-100.0
374,FPT,13:56:46,Buy Up,SHEEP,800,130000.0,1,0.0
375,FPT,13:56:13,Buy Up,SHEEP,100,130000.0,1,100.0
376,FPT,13:56:08,Buy Up,SHEEP,900,129900.0,2,0.0
377,FPT,13:55:53,Buy Up,SHEEP,700,129900.0,2,0.0
378,FPT,13:55:43,Buy Up,SHEEP,200,129900.0,2,0.0
379,FPT,13:55:38,Sell Down,SHEEP,300,129900.0,2,0.0
380,FPT,13:55:30,Sell Down,SHEEP,1500,129900.0,6,0.0
381,FPT,13:55:07,Sell Down,SHEEP,100,129900.0,1,-100.0
382,FPT,13:55:01,Buy Up,SHEEP,800,130000.0,1,100.0
383,FPT,13:54:57,Sell Down,SHEEP,300,129900.0,2,-100.0
384,FPT,13:54:54,Buy Up,SHEEP,500,130000.0,1,0.0
385,FPT,13:54:51,Buy Up,SHEEP,400,130000.0,1,0.0
386,FPT,13:54:09,Buy Up,SHEEP,800,130000.0,1,170.0
387,FPT,13:54:03,Sell Down,SHEEP,400,129830.0,2,-70.0
388,FPT,13:53:52,Buy Up,SHEEP,100,129900.0,1,0.0
389,FPT,13:53:49,Buy Up,SHEEP,500,129900.0,1,0.0
390,FPT,13:53:40,Sell Down,WOLF,3300,129900.0,3,-100.0
391,FPT,13:53:33,Buy Up,SHEEP,200,130000.0,1,0.0
392,FPT,13:53:23,Buy Up,SHEEP,200,130000.0,1,100.0
393,FPT,13:53:23,Sell Down,SHEEP,1300,129900.0,6,-100.0
394,FPT,13:53:17,Buy Up,SHEEP,200,130000.0,1,0.0
395,FPT,13:53:15,Buy Up,SHEEP,900,130000.0,2,0.0
396,FPT,13:53:09,Buy Up,SHEEP,100,130000.0,1,0.0
397,FPT,13:52:57,Buy Up,SHEEP,100,130000.0,1,100.0
398,FPT,13:52:56,Sell Down,SHEEP,200,129900.0,1,-100.0
399,FPT,13:52:31,Buy Up,SHEEP,100,130000.0,1,0.0
400,FPT,13:52:27,Buy Up,SHEEP,500,130000.0,1,0.0
401,FPT,13:52:23,Buy Up,SHEEP,1200,130000.0,2,0.0
402,FPT,13:52:19,Buy Up,SHEEP,100,130000.0,1,0.0
403,FPT,13:52:07,Buy Up,SHEEP,100,130000.0,1,0.0
404,FPT,13:51:57,Buy Up,SHEEP,100,130000.0,1,100.0
405,FPT,13:51:57,Sell Down,SHEEP,100,129900.0,1,-100.0
406,FPT,13:51:56,Buy Up,SHEEP,100,130000.0,1,0.0
407,FPT,13:51:45,Buy Up,SHEEP,100,130000.0,1,0.0
408,FPT,13:51:28,Buy Up,SHEEP,900,130000.0,2,100.0
409,FPT,13:50:58,Sell Down,SHEEP,900,129900.0,3,0.0
410,FPT,13:50:34,Buy Up,SHEEP,100,129900.0,1,0.0
411,FPT,13:50:31,Buy Up,SHEEP,100,129900.0,1,100.0
